 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Set/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"26 Pernambuco";2053;1829;1991;2026;2138;1995;2170;2010;2004;1941;1838;1861;2008;1844;2059;2033;2200;2163;2199;2215;2126;2095;2042;2054;2157;1914;2111;1879;2860;2818;2804;2572;2359;1839;2530;2249;2822;2485;2847;3336;3868;3827;3127;2796;2288;104382
"27 Alagoas";531;555;463;544;568;538;516;533;557;575;497;536;538;523;540;521;510;606;576;560;568;622;471;597;526;499;586;550;559;563;690;725;581;645;611;574;674;697;855;1029;1064;942;880;756;624;27675
"28 Sergipe";422;399;328;456;435;338;491;409;357;431;347;378;448;445;361;434;501;384;429;402;480;447;349;358;427;391;401;365;408;381;494;575;593;549;537;461;433;565;491;621;620;666;701;541;419;20468
"29 Bahia";2376;2390;2367;2411;2448;2381;2501;2676;2550;2751;2393;2265;2512;2141;2451;2682;2580;2629;2945;3008;2751;2626;2767;2528;2652;2494;2703;2624;2776;3118;3427;3235;2882;2862;2751;2943;2915;3034;3521;3822;3685;3958;3877;3265;3063;126736
"31 Minas Gerais";4674;4238;4638;4746;4751;5050;4977;5004;4905;4820;4390;4543;4872;4474;4759;4759;5152;5092;5502;5451;5141;5173;4614;4578;5036;4569;4593;4346;4527;4744;5525;5969;5896;6114;5425;5358;6323;6025;7727;9166;9090;8483;8041;7106;5489;245855
"32 Espírito Santo";873;749;706;763;792;775;827;752;733;775;685;614;780;666;711;698;748;731;858;852;774;842;733;836;892;737;761;840;1065;1138;1275;1121;1048;966;1021;1078;1326;1148;1490;1814;1668;1370;1386;1117;989;42523
"33 Rio de Janeiro";3829;3658;3975;3792;4249;4092;4530;4161;4042;3895;3709;3646;4257;3643;4096;3785;4446;4539;4561;4287;4092;4191;3918;3854;4323;3675;3858;3848;5655;5647;5982;5229;5153;4623;5151;5382;5643;5051;6406;7182;7302;6307;6085;5997;5981;211727
"35 São Paulo";10415;9404;9868;9843;10349;11216;11286;10807;10327;10202;9929;10105;11049;9701;10049;10125;10790;11009;12059;11500;10963;10777;9833;10005;11045;10091;10595;10479;12136;13349;14906;13496;12916;12823;11537;11707;13482;13176;17765;20549;18947;19069;17496;14736;12199;544110
"41 Paraná";2778;2518;2524;2603;2633;2912;3105;2929;2828;2766;2802;2608;2922;2636;2621;2605;2794;2732;2956;3007;2981;2999;2775;2673;2870;3074;2842;2515;2760;2765;3146;3802;3401;3432;3408;3398;3759;4014;5080;5584;5427;6063;5216;4782;3332;147377
"42 Santa Catarina";1573;1459;1578;1552;1628;1957;1872;2048;1859;1719;1615;1552;1772;1528;1640;1677;1703;1755;1899;2041;1987;1897;1674;1647;1732;1757;1687;1633;1498;1673;1923;2170;2058;1929;1879;2075;2250;2319;3258;3269;2925;2816;2715;2507;1948;87653
"43 Rio Grande do Sul";3193;2845;2799;2914;3014;3326;3731;3845;3654;3308;3163;2921;3232;3015;2932;2983;3131;3213;3766;4002;3765;3584;3151;3065;3304;3025;3114;2817;3121;3212;3864;3901;3760;4102;3667;3730;4257;3893;6160;6418;5527;5386;4986;4476;3823;165095
"50 Mato Grosso do Sul";519;533;484;578;581;560;574;560;561;578;526;461;506;542;515;570;518;518;632;646;667;570;583;529;537;574;593;633;562;561;650;717;807;773;704;663;789;786;903;1117;1060;1334;1192;1169;1028;30463
"51 Mato Grosso";710;565;623;650;535;557;649;567;616;520;495;478;560;618;589;568;635;620;690;612;634;593;557;534;527;595;533;438;463;565;809;870;809;810;725;526;688;685;1142;1263;994;1174;1261;1127;766;30945
"52 Goiás";967;823;959;887;890;940;964;919;944;1034;881;925;1041;922;953;951;1024;1057;1107;1195;1115;1098;1014;981;1090;978;1030;983;1018;1170;1465;1757;1510;1609;1334;1262;1414;1366;2447;2260;1935;2094;2075;2043;1744;56175
"53 Distrito Federal";506;511;564;576;623;644;667;664;486;428;514;365;572;499;577;533;563;604;592;744;497;480;487;503;683;550;663;627;532;742;872;978;682;681;627;611;706;644;1066;1610;969;782;665;759;811;29459
"Total";41764;38612;40490;41111;42508;44086;45595;44550;42720;42183;40081;39292;44154;39511;41795;41860;44771;44740;47815;47437;45555;44766;41681;41363;44708;41580;42724;41097;49996;54189;58370;56941;52530;51855;49463;49238;56338;55734;73881;83016;79188;76945;70230;62206;51157;2229826
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
